P02834		14605208
	P02834	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P02839		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
O76924		14605208
		14605208
		14605208
		14605208
	P07187	14605208
		14605208
	A1Z6E8	14605208
A1Z6E8		14605208
A1Z6E8		14605208
A1Z6E8		14605208
	A1Z6E8	14605208
A1Z6E8		14605208
A1Z6E8		14605208
	A1Z6E8	14605208
A1Z6E8	Q9GYU8	14605208
	A1Z6E8	14605208
A1Z6E8		14605208
	A1Z6E8	14605208
	A1Z6E8	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9W0N9	14605208
		14605208
		14605208
		14605208
	O46036	14605208
		14605208
		14605208
		14605208
Q8MSF5		14605208
		14605208
		14605208
		14605208
		14605208
Q9VV74		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P54191		14605208
		14605208
	O62622	14605208
		14605208
		14605208
		14605208
Q9V3A4		14605208
	Q9V3A4	14605208
	Q9V3A4	14605208
P09089	P42003	14605208
P09089		14605208
P09089		14605208
P09089		14605208
P09089		14605208
	P09089	14605208
O96660	P09089	14605208
P09089		14605208
P09089	Q9XZS4	14605208
	P09089	14605208
P09089	Q9VS38	14605208
		14605208
P48603		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q24090		14605208
		14605208
		14605208
Q9VSS7		14605208
		14605208
P15330		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9VLV5	14605208
		14605208
O77051	P25171	14605208
Q9VAN0	P25171	14605208
	P25171	14605208
	P25171	14605208
	P25171	14605208
P25171		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9VZ09		14605208
		14605208
		14605208
	P13395	14605208
Q9VPI3		14605208
	P11455	14605208
	Q9W3S4	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q24564		14605208
P08570		14605208
		14605208
		14605208
	P07185	14605208
		14605208
		14605208
		14605208
	Q08180	14605208
		14605208
		14605208
		14605208
		14605208
	Q9VB22	14605208
P23573	P40417	14605208
	P23573	14605208
	P23573	14605208
	P23573	14605208
	Q9Y105	14605208
		14605208
		14605208
		14605208
		14605208
P54733		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q27889		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P08181		14605208
P40320		14605208
		14605208
		14605208
		14605208
	Q24251	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P23023		14605208
		14605208
		14605208
		14605208
		14605208
P83099		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P00034		14605208
		14605208
		14605208
		14605208
		14605208
	P02517	14605208
		14605208
		14605208
		14605208
O76908		14605208
		14605208
		14605208
		14605208
	Q9VK58	14605208
		14605208
		14605208
		14605208
P92201		14605208
		14605208
P92201		14605208
		14605208
		14605208
P92201		14605208
		14605208
P92201		14605208
	P92201	14605208
		14605208
O46100		14605208
		14605208
	P41092	14605208
		14605208
		14605208
Q9VQQ9		14605208
Q9W2N0		14605208
	Q9W2N0	14605208
Q9W2N0		14605208
Q9W2N0	P48603	14605208
Q9W2N0		14605208
	Q9W2N0	14605208
Q95RR8		14605208
		14605208
		14605208
		14605208
P09082		14605208
		14605208
	P02517	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P26308		14605208
	P26308	14605208
P26308		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9VVT2		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P18487		14605208
		14605208
		14605208
	P38979	14605208
		14605208
P52485		14605208
	P42207	14605208
		14605208
		14605208
P48592		14605208
	P02834	14605208
		14605208
		14605208
		14605208
P52304		15710747 14605208
		14605208
		14605208
		14605208
	Q9VFA8	14605208
	P02834	14605208
	O16011	14605208
A1Z6E8	Q9VR29	14605208
		14605208
	Q27350	14605208
		14605208
P09089		14605208
		14605208
P25161		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P14318		14605208
Q24186		14605208
		14605208
		14605208
		14605208
A1Z6E8		14605208
		14605208
		14605208
		14605208
		14605208
	P09089	14605208
	P23573	14605208
		14605208
		14605208
		14605208
		14605208
	P92201	14605208
		14605208
	Q9VEU1	14605208
		14605208
		14605208
P25171	Q7Z2C5	14605208
	P83099	14605208
P39768		14605208
		14605208
	P14199	14605208
		14605208
		14605208
		14605208
		14605208
P13468		14605208
		14605208
	P02834	14605208
Q9Y0A7		14605208
	A1Z6E8	14605208
	A1Z6E8	14605208
	A1Z6E8	14605208
A1Z6E8		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P25161	14605208
		14605208
		14605208
	P17886	14605208
	Q9W3S4	14605208
		14605208
		14605208
	P07185	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q24248	Q9VDF0	14605208
		14605208
		14605208
	Q24133	14605208
P92177		14605208
Q04787		14605208
		14605208
		14605208
		14605208
Q24090		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
O77051		14605208
		14605208
		14605208
		14605208
		14605208
O96860		14605208
	P12982	14605208
		14605208
		14605208
Q27350		14605208
	Q24133	14605208
Q24133		14605208
	Q24133	14605208
	Q24133	14605208
	Q24133	14605208
	Q24133	14605208
	Q24133	14605208
Q24133		14605208
	Q24133	14605208
	Q24133	14605208
Q24133		14605208
Q24133		14605208
Q24133		14605208
Q24133		14605208
Q24133	Q9VTV7	14605208
	Q24133	14605208
	Q24133	14605208
Q24133		14605208
Q24133		14605208
Q9VPH7	Q24133	14605208
Q24133		14605208
Q24133		14605208
	Q24133	14605208
Q24133		14605208
Q24133		14605208
	Q24133	14605208
Q24133		14605208
Q960T2	Q24133	14605208
Q24133		14605208
P02835		14605208
		14605208
Q7KML2		14605208
		14605208
	Q9VG82	14605208
	Q24133	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9VRM7	14605208
		14605208
		14605208
		14605208
	Q9VJ42	14605208
	Q9VJ42	14605208
	Q9VJ42	14605208
	Q9I7M1	14605208
	Q04787	14605208
Q04787	O44424	14605208
Q04787		14605208
O44783	Q04787	14605208
Q04787		14605208
Q04787		14605208
	Q04787	14605208
Q04787		14605208
Q04787	Q9VMW8	14605208
P06002	Q04787	14605208
	Q04787	14605208
Q04787		14605208
	Q04787	14605208
Q04787		14605208
	Q04787	14605208
Q04787		14605208
Q04787		14605208
P54269	P54353	14605208
	Q9U6M0	14605208
Q9U6M0		14605208
Q9U6M0		14605208
	Q9VTX8	14605208
	Q9VTX8	14605208
	Q9VTX8	14605208
		14605208
		14605208
O46084		14605208
		14605208
	Q7KML2	14605208
		14605208
	Q9VLP3	14605208
		14605208
		14605208
		14605208
Q9W0K7	Q24090	14605208
	Q9VRM3	14605208
Q9VRM3		14605208
	Q9VRM3	14605208
	Q9VRM3	14605208
	Q9VRM3	14605208
	Q9VRM3	14605208
		14605208
		14605208
	Q00963	14605208
	Q02748	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
O97111		14605208
